ticker,epic,instrument_name,instrument_type,currency,market_status,search_term
CINF,UA.D.CINF.CASH.IP,Cincinnati Financial Corp (24 Hours),SHARES,N/A,TRADEABLE,CI
CINPHASS,EH.D.CINPHASS.CASH.IP,Cinclus Pharma Holding AB,SHARES,N/A,EDITS_ONLY,CI
CINHLN,KC.D.CINHLN.CASH.IP,Cindrigo Holdings Limited,SHARES,N/A,EDITS_ONLY,CI
CHALLN,KC.D.CHALLN.CASH.IP,Cindrigo Holdings Ltd,SHARES,N/A,CLOSED,CI
CTXRUS,UA.D.CTXRUS.CASH.IP,Citius Pharmaceuticals Inc,SHARES,N/A,TRADEABLE,CI
CLHSJ,AR.D.CLHSJ.CASH.IP,City Lodge Hotels Ltd,SHARES,N/A,EDITS_ONLY,CI
FCZAUS,UB.D.FCZAUS.CASH.IP,Civista Bancshares Inc,SHARES,N/A,TRADEABLE,CI
CSHL,KA.D.CSHL.CASH.IP,Civitas Social Housing PLC,SHARES,N/A,CLOSED,CI
GYCGY,ED.D.GYCGY.CASH.IP,Grand City Properties SA,SHARES,N/A,EDITS_ONLY,CI
NCMIUS,UC.D.NCMIUS.CASH.IP,National CineMedia Inc,SHARES,N/A,TRADEABLE,CI
NCYF,KA.D.NCYF.CASH.IP,New City High Yield Fund Ltd,SHARES,N/A,EDITS_ONLY,CI
COFIM,EF.D.COFIM.CASH.IP,CIR SpA - Compagnie Industriali,SHARES,N/A,EDITS_ONLY,CI
ML,EC.D.ML.CASH.IP,Cie Generale des Etablissements Michelin,SHARES,N/A,EDITS_ONLY,CI
CZNCUS,UA.D.CZNCUS.CASH.IP,Citizens & Northern Corporation,SHARES,N/A,TRADEABLE,CI
CKILN,KC.D.CKILN.CASH.IP,CK Infrastructure Holdings Ltd,SHARES,N/A,EDITS_ONLY,CK
CL,CC.D.CL.UNC.IP,Oil - US Crude ($10),COMMODITIES,N/A,TRADEABLE,CL
CL,CC.D.CL.UMP.IP,Oil - US Crude (£1),COMMODITIES,N/A,TRADEABLE,CL
CL,EN.D.CL.FWS2.IP,Oil - US Crude ($10),COMMODITIES,N/A,TRADEABLE,CL
CL,EN.D.CL.FWS1.IP,Oil - US Crude ($10),COMMODITIES,N/A,TRADEABLE,CL
CL,EN.D.CL.FWM2.IP,Oil - US Crude ($5),COMMODITIES,N/A,TRADEABLE,CL
CL,EN.D.CL.FWM1.IP,Oil - US Crude ($5),COMMODITIES,N/A,TRADEABLE,CL
CL,EN.D.CL.FWP3.IP,Oil - US Crude (£1),COMMODITIES,N/A,TRADEABLE,CL
CL,EN.D.CL.FWP2.IP,Oil - US Crude (£1),COMMODITIES,N/A,TRADEABLE,CL
TOTAUS,UD.D.TOTAUS.CASH.IP,Clene Inc,SHARES,N/A,TRADEABLE,CL
CLIMEBSS,EH.D.CLIMEBSS.CASH.IP,Climeon AB,SHARES,N/A,EDITS_ONLY,CL
CLABSS,EH.D.CLABSS.CASH.IP,Cloetta AB (publ),SHARES,N/A,EDITS_ONLY,CL
AVQFP,EC.D.AVQFP.CASH.IP,Claranova SA,SHARES,N/A,CLOSED,CL
CKN,KA.D.CKN.CASH.IP,Clarkson PLC,SHARES,N/A,EDITS_ONLY,CL
CLAVSS,EH.D.CLAVSS.CASH.IP,Clavister AB,SHARES,N/A,EDITS_ONLY,CL
CLROUS,UA.D.CLROUS.CASH.IP,ClearOne Inc,SHARES,N/A,TRADEABLE,CL
SCONUS,UD.D.SCONUS.CASH.IP,Clearday Inc,SHARES,N/A,OFFLINE,CL
ABOGY,ED.D.ABOGY.CASH.IP,Clearvise AG,SHARES,N/A,EDITS_ONLY,CL
CTO,KA.D.CTO.CASH.IP,T Clarke PLC,SHARES,N/A,CLOSED,CL
CLPSUS,UA.D.CLPSUS.CASH.IP,CLPS In Corporation,SHARES,N/A,TRADEABLE,CL
CLI,KA.D.CLI.CASH.IP,CLS Holdings PLC,SHARES,N/A,EDITS_ONLY,CL
KORIFP,EC.D.KORIFP.CASH.IP,Clariane Group,SHARES,N/A,EDITS_ONLY,CL
BDEUS,UA.D.BDEUS.CASH.IP,Clarus Corporation,SHARES,N/A,TRADEABLE,CL
CLASB,EH.D.CLASB.CASH.IP,Clas Ohlson AB - B,SHARES,N/A,EDITS_ONLY,CL
CAPLN,KC.D.CAPLN.CASH.IP,Clean Air Power Ltd,SHARES,N/A,CLOSED,CL
CLSKUS,UA.D.CLSKUS.CASH.IP,CleanSpark Inc (24 Hours),SHARES,N/A,TRADEABLE,CL
CLSKWUS,UA.D.CLSKWUS.CASH.IP,Cleanspark Inc (Warrants),SHARES,N/A,TRADEABLE,CL
CLFDUS,UA.D.CLFDUS.CASH.IP,Clearfield Inc,SHARES,N/A,TRADEABLE,CL
CLEMSS,EH.D.CLEMSS.CASH.IP,Clemondo Group AB (publ),SHARES,N/A,EDITS_ONLY,CL
NCLSJ,AR.D.NCLSJ.CASH.IP,Clicks Group Ltd,SHARES,N/A,EDITS_ONLY,CL
CLIN,KA.D.CLIN.CASH.IP,Clinigen Group PLC,SHARES,N/A,CLOSED,CL
CLIQGY,ED.D.CLIQGY.CASH.IP,Cliq Digital AG,SHARES,N/A,EDITS_ONLY,CL
PNG,KC.D.PNG.CASH.IP,Clontarf Energy PLC,SHARES,N/A,EDITS_ONLY,CL
ZENLN,KC.D.ZENLN.CASH.IP,Cloudcall Group PLC,SHARES,N/A,CLOSED,CL
PINNLN,KC.D.PINNLN.CASH.IP,Cloudcoco Group PLC,SHARES,N/A,EDITS_ONLY,CL
CLVSUS,UA.D.CLVSUS.CASH.IP,Clovis Oncology Inc,SHARES,N/A,CLOSED,CL
CMCSA,UA.D.CMCSA.CASH.IP,Comcast Corp - Class A (24 Hours),SHARES,N/A,TRADEABLE,CL
GCLALI,PK.D.GCLALI.CASH.IP,Grupo Clarin SA,SHARES,N/A,CLOSED,CL
MCLLN,KA.D.MCLLN.CASH.IP,Morses Club PLC,SHARES,N/A,CLOSED,CL
SDIPBSS,EH.D.SDIPBSS.CASH.IP,Sdiptech AB (publ)-  Class B,SHARES,N/A,EDITS_ONLY,CL
CYBGLN,KA.D.CYBGLN.CASH.IP,Virgin Money UK PLC (LSE),SHARES,N/A,CLOSED,CL
ADURUS,UA.D.ADURUS.CASH.IP,Aduro Clean Technologies Inc,SHARES,N/A,TRADEABLE,CL
ARNIM,EF.D.ARNIM.CASH.IP,Alerion Cleanpower SpA,SHARES,N/A,EDITS_ONLY,CL
AUHULN,KC.D.AUHULN.CASH.IP,Auhua Clean Energy PLC,SHARES,N/A,CLOSED,CL
BCGLN,KA.D.BCGLN.CASH.IP,Baltic Classifieds Group PLC,SHARES,N/A,EDITS_ONLY,CL
DSYUS,UB.D.DSYUS.CASH.IP,Big Tree Cloud Holdings Ltd,SHARES,N/A,TRADEABLE,CL
KIDZUS,UB.D.KIDZUS.CASH.IP,Classover Holdings Inc,SHARES,N/A,TRADEABLE,CL
CLNE,UA.D.CLNE.CASH.IP,Clean Energy Fuels Corp,SHARES,N/A,TRADEABLE,CL
CMCOMNA,EG.D.CMCOMNA.CASH.IP,CM.com NV,SHARES,N/A,EDITS_ONLY,CM
EURN,EA.D.EURN.CASH.IP,CMB.TECH NV,SHARES,N/A,EDITS_ONLY,CM
0HR2LN,KA.D.0HR2LN.CASH.IP,CME Group Inc,SHARES,N/A,CLOSED,CM
CMOLN,KC.D.CMOLN.CASH.IP,CMO Group PLC,SHARES,N/A,CLOSED,CM
CMCXLN,KA.D.CMCXLN.CASH.IP,CMC Markets PLC,SHARES,N/A,EDITS_ONLY,CM
CCMP,UA.D.CCMP.CASH.IP,CMC Materials Inc,SHARES,N/A,CLOSED,CM
CME,UA.D.CME.CASH.IP,CME Group Inc - US (24 Hours),SHARES,N/A,TRADEABLE,CM
CMBSUS,SI.D.CMBSUS.CASH.IP,iShares CMBS ETF,SHARES,N/A,TRADEABLE,CM
EURN,EA.D.EURN.OPTCALL.IP,CMB.TECH NV Barrier Call,SHARES,N/A,EDITS_ONLY,CM
EURN,EA.D.EURN.OPTPUT.IP,CMB.TECH NV Barrier Put,SHARES,N/A,EDITS_ONLY,CM
CMLLN,KC.D.CMLLN.CASH.IP,CML Microsystems PLC,SHARES,N/A,EDITS_ONLY,CM
UC14LN,KA.D.UC14LN.CASH.IP,CMCI Composite SF UCITS ETF (USD) A-acc - UC14,SHARES,N/A,EDITS_ONLY,CM
UC15LN,KA.D.UC15LN.CASH.IP,CMCI Composite SF UCITS ETF (USD) A-acc - UC15,SHARES,N/A,EDITS_ONLY,CM
UC90LN,KA.D.UC90LN.CASH.IP,UBS Irl Fund Solutions plc - CMCI Composite SF UCITS ETF,SHARES,N/A,EDITS_ONLY,CM
UCIBUS,SI.D.UCIBUS.CASH.IP,ETRACS UBS Bloomberg Constant Maturity Commodity Indx CMCI Total Return ETN Se B,SHARES,N/A,TRADEABLE,CM
UD07LN,KA.D.UD07LN.CASH.IP,UBS Irl Fund Solutions plc - Bloomberg Commodity CMCI SF UCITS ETF,SHARES,N/A,EDITS_ONLY,CM
CNEYUS,UA.D.CNEYUS.CASH.IP,CN Energy Group. Inc,SHARES,N/A,TRADEABLE,CN
CNHIIM,EF.D.CNHIIM.CASH.IP,CNH Industrial NV (IT),SHARES,N/A,CLOSED,CN
CNPFP,EC.D.CNPFP.CASH.IP,CNP Assurances,SHARES,N/A,CLOSED,CN
CCNEUS,UA.D.CCNEUS.CASH.IP,CNB Financial Corporation,SHARES,N/A,TRADEABLE,CN
CNSPUS,UA.D.CNSPUS.CASH.IP,CNS Pharmaceuticals Inc,SHARES,N/A,TRADEABLE,CN
SCNYLN,KA.D.SCNYLN.CASH.IP,ETFS Short CNY Long USD,SHARES,N/A,EDITS_ONLY,CN
CNYBLN,KA.D.CNYBLN.CASH.IP,iShares China CNY Bond UCITS ETF (GBP),SHARES,N/A,EDITS_ONLY,CN
COFP,EC.D.COFP.CASH.IP,Casino Guichard Perrachon SA,SHARES,N/A,EDITS_ONLY,CO
GC,MT.D.GC.FWS4.IP,Gold ($100),COMMODITIES,N/A,TRADEABLE,CO
GC,MT.D.GC.FWM4.IP,Gold ($33.20),COMMODITIES,N/A,TRADEABLE,CO
HG,MT.D.HG.FWM3.IP,High Grade Copper ($0.50),COMMODITIES,N/A,TRADEABLE,CO
HG,MT.D.HG.FWS3.IP,High Grade Copper ($2.50),COMMODITIES,N/A,TRADEABLE,CO
COPPER,CS.D.COPPER.CFD.IP,Copper,CURRENCIES,N/A,TRADEABLE,CO
COPPER,CS.D.COPPER.MINI.IP,Copper ($5 Mini Contract),CURRENCIES,N/A,TRADEABLE,CO
C,CC.D.C.UNC.IP,Corn ($50),COMMODITIES,N/A,TRADEABLE,CO
C,CC.D.C.UMP.IP,Corn (£1),COMMODITIES,N/A,TRADEABLE,CO
C,CO.D.C.FWM3.IP,Corn ($25),COMMODITIES,N/A,TRADEABLE,CO
C,CO.D.C.FWM2.IP,Corn ($25),COMMODITIES,N/A,TRADEABLE,CO
C,CO.D.C.FWM1.IP,Corn ($25),COMMODITIES,N/A,TRADEABLE,CO
C,CO.D.C.FWS3.IP,Corn ($50),COMMODITIES,N/A,TRADEABLE,CO
C,CO.D.C.FWS2.IP,Corn ($50),COMMODITIES,N/A,TRADEABLE,CO
C,CO.D.C.FWS1.IP,Corn ($50),COMMODITIES,N/A,TRADEABLE,CO
CT,CC.D.CT.UNC.IP,NY Cotton ($5),COMMODITIES,N/A,TRADEABLE,CO
CT,CC.D.CT.UMP.IP,NY Cotton (£1),COMMODITIES,N/A,TRADEABLE,CO
WDFCUS,UD.D.WDFCUS.CASH.IP,WD-40 Co,SHARES,N/A,TRADEABLE,CO
IIVI,UB.D.IIVI.CASH.IP,COHERENT CORP,SHARES,N/A,TRADEABLE,CO
CNMDUS,UA.D.CNMDUS.CASH.IP,CONMED Corp,SHARES,N/A,TRADEABLE,CO
LKD,CC.D.LKD.UNC.IP,Coffee Robusta ($10),COMMODITIES,N/A,EDITS_ONLY,CO
LKD,CC.D.LKD.UMP.IP,Coffee Robusta (£1),COMMODITIES,N/A,EDITS_ONLY,CO
CGNX,UA.D.CGNX.CASH.IP,Cognex Corp,SHARES,N/A,TRADEABLE,CO
CRVLUS,UA.D.CRVLUS.CASH.IP,Corvel Corp,SHARES,N/A,TRADEABLE,CO
LCC,CC.D.LCC.UMP.IP,London Cocoa (£1),COMMODITIES,N/A,EDITS_ONLY,CO
LCC,CC.D.LCC.UNC.IP,London Cocoa (£10),COMMODITIES,N/A,EDITS_ONLY,CO
CC,CC.D.CC.UNC.IP,New York Cocoa ($10),COMMODITIES,N/A,TRADEABLE,CO
CC,CC.D.CC.UMP.IP,New York Cocoa (£1),COMMODITIES,N/A,TRADEABLE,CO
PTGEFUS,UC.D.PTGEFUS.CASH.IP,Alpa Compute Corp,SHARES,N/A,OFFLINE,CO
CONXUS,UA.D.CONXUS.CASH.IP,CONX Corporation,SHARES,N/A,OFFLINE,CO
COCHLN,KA.D.COCHLN.CASH.IP,Coca-Cola HBC AG (LSE),SHARES,N/A,EDITS_ONLY,CO
CPPLN,KA.D.CPPLN.CASH.IP,CPP Group PLC,SHARES,N/A,EDITS_ONLY,CP
CPRIM,EF.D.CPRIM.CASH.IP,Davide Campari-Milano SpA,SHARES,N/A,EDITS_ONLY,CP
PMTSUS,UC.D.PMTSUS.CASH.IP,CPI Card Group Inc,SHARES,N/A,TRADEABLE,CP
CPSHUS,UA.D.CPSHUS.CASH.IP,CPS Technologies Corporation,SHARES,N/A,TRADEABLE,CP
CRHLN,KA.D.CRHLN.CASH.IP,CRH PLC (LSE),SHARES,N/A,CLOSED,CR
CRYPTOB10,CS.D.CRYPTOB10.CFD.IP,Crypto 10 Index,CURRENCIES,N/A,TRADEABLE,CR
UC,EF.D.UC.CASH.IP,UniCredit SpA,SHARES,N/A,EDITS_ONLY,CR
CRWSUS,UA.D.CRWSUS.CASH.IP,Crown Crafts Inc,SHARES,N/A,TRADEABLE,CR
SUNCL,IX.D.SUNCL.UMP.IP,Weekend Oil - US Crude (GBP1),COMMODITIES,N/A,EDITS_ONLY,CR
CREDASS,EH.D.CREDASS.CASH.IP,Creades AB,SHARES,N/A,EDITS_ONLY,CR
CRTDUS,UA.D.CRTDUS.CASH.IP,Creatd Inc,SHARES,N/A,OFFLINE,CR
CRCTUS,UA.D.CRCTUS.CASH.IP,Cricut Inc,SHARES,N/A,TRADEABLE,CR
CRTOUS,UA.D.CRTOUS.CASH.IP,Criteo SA,SHARES,N/A,TRADEABLE,CR
CROX,UA.D.CROX.CASH.IP,Crocs Inc,SHARES,N/A,TRADEABLE,CR
NBILN,KC.D.NBILN.CASH.IP,CRESTCHIC PLC,SHARES,N/A,CLOSED,CR
CRW,KC.D.CRW.CASH.IP,Craneware PLC,SHARES,N/A,EDITS_ONLY,CR
CWK,KA.D.CWK.CASH.IP,Cranswick PLC,SHARES,N/A,EDITS_ONLY,CR
CXDOUS,UA.D.CXDOUS.CASH.IP,Crexendo Inc,SHARES,N/A,TRADEABLE,CR
ALCJFP,EC.D.ALCJFP.CASH.IP,Crossject SA,SHARES,N/A,EDITS_ONLY,CR
CFISHSS,EH.D.CFISHSS.CASH.IP,Crunchfish AB (publ),SHARES,N/A,EDITS_ONLY,CR
CYRXUS,UA.D.CYRXUS.CASH.IP,Cryoport Inc,SHARES,N/A,TRADEABLE,CR
CENFP,EC.D.CENFP.CASH.IP,Groupe Crit,SHARES,N/A,EDITS_ONLY,CR
ACWGY,ED.D.ACWGY.CASH.IP,AS Creation Tapeten AG,SHARES,N/A,EDITS_ONLY,CR
CRWCLN,KC.D.CRWCLN.CASH.IP,Albion Crown VCT PLC,SHARES,N/A,EDITS_ONLY,CR
BENLN,KC.D.BENLN.CASH.IP,Bens Creek Group PLC,SHARES,N/A,CLOSED,CR
TIDELN,KC.D.TIDELN.CASH.IP,Crimson Tide PLC,SHARES,N/A,EDITS_ONLY,CR
CRTMLN,KC.D.CRTMLN.CASH.IP,Critical Metals PLC,SHARES,N/A,EDITS_ONLY,CR
CRONUS,UA.D.CRONUS.CASH.IP,Cronos Group Inc - US,SHARES,N/A,TRADEABLE,CR
CE2GY,ED.D.CE2GY.CASH.IP,CropEnergies AG,SHARES,N/A,CLOSED,CR
CRWNLN,KC.D.CRWNLN.CASH.IP,Crown Place VCT PLC,SHARES,N/A,EDITS_ONLY,CR
CRPRLN,KC.D.CRPRLN.CASH.IP,James Cropper PLC,SHARES,N/A,EDITS_ONLY,CR
LSXMKUS,UB.D.LSXMKUS.CASH.IP,Liberty Media Crop,SHARES,N/A,CLOSED,CR
MMMBUS,UC.D.MMMBUS.CASH.IP,Mama's Creations Inc,SHARES,N/A,TRADEABLE,CR
DHYUS,SI.D.DHYUS.CASH.IP,Credit Suisse High Yield Credit Fund,SHARES,N/A,TRADEABLE,CR
BPCRLN,KA.D.BPCRLN.CASH.IP,BioPharma Credit PLC,SHARES,N/A,EDITS_ONLY,CR
COINSS,EH.D.COINSS.CASH.IP,Coinshares International Ltd,SHARES,N/A,CLOSED,CS
CSGNA,EG.D.CSGNA.CASH.IP,CSG NV,SHARES,N/A,EDITS_ONLY,CS
CSPIUS,UA.D.CSPIUS.CASH.IP,CSP Inc,SHARES,N/A,TRADEABLE,CS
CCLPUS,UA.D.CCLPUS.CASH.IP,CSI Compressco LP,SHARES,N/A,CLOSED,CS
CSWIUS,UA.D.CSWIUS.CASH.IP,CSW Industrials Inc,SHARES,N/A,TRADEABLE,CS
SXFP,EC.D.SXFP.CASH.IP,CS Communication & Systemes,SHARES,N/A,CLOSED,CS
CSGS,UA.D.CSGS.CASH.IP,CSG Systems International Inc,SHARES,N/A,CLOSED,CS
CHAUUS,SI.D.CHAUUS.CASH.IP,Direxion Daily CSI 300 China A Share Bull 2X ETF,SHARES,N/A,TRADEABLE,CS
KWEBLN,KA.D.KWEBLN.CASH.IP,KraneShares CSI China Internet ETF - (LSE),SHARES,N/A,EDITS_ONLY,CS
KWEBUS,UB.D.KWEBUS.CASH.IP,KraneShares CSI China Internet ETF - (US),SHARES,N/A,TRADEABLE,CS
KWBPLN,KA.D.KWBPLN.CASH.IP,KraneShares CSI China Internet UCITS ETF,SHARES,N/A,EDITS_ONLY,CS
XCHALN,KA.D.XCHALN.CASH.IP,Xtrackers CSI300 Swap UCITS ETF London,SHARES,N/A,EDITS_ONLY,CS
XCSILN,KA.D.XCSILN.CASH.IP,Xtrackers CSI500 Swap UCITS ETF 1C,SHARES,N/A,EDITS_ONLY,CS
RQFILN,KA.D.RQFILN.CASH.IP,Xtrackers Harvest CSI300 UCITS ETF 1D,SHARES,N/A,EDITS_ONLY,CS
ASHRLN,KA.D.ASHRLN.CASH.IP,Xtrackers Harvest CSI300 UCITS ETF 1D,SHARES,N/A,EDITS_ONLY,CS
CS51LN,KA.D.CS51LN.CASH.IP,iShares Core EURO STOXX 50 UCITS ETF - CS51,SHARES,N/A,EDITS_ONLY,CS
CSX5LN,KA.D.CSX5LN.CASH.IP,iShares Core EURO STOXX 50 UCITS ETF - CSX5,SHARES,N/A,EDITS_ONLY,CS
CSP1LN,KA.D.CSP1LN.CASH.IP,iShares Core S&P 500 UCITS ETF - CSP1,SHARES,N/A,EDITS_ONLY,CS
CSPXLN,KA.D.CSPXLN.CASH.IP,iShares Core S&P 500 UCITS ETF - CSPX,SHARES,N/A,EDITS_ONLY,CS
CWEBUS,SI.D.CWEBUS.CASH.IP,Direxion Daily CSI China Internet Index Bull 2X ETF,SHARES,N/A,TRADEABLE,CS
CTPNVNA,EG.D.CTPNVNA.CASH.IP,CTP NV,SHARES,N/A,EDITS_ONLY,CT
EVDGY,ED.D.EVDGY.CASH.IP,CTS Eventim AG,SHARES,N/A,EDITS_ONLY,CT
CTTSS,EH.D.CTTSS.CASH.IP,CTT Systems AB,SHARES,N/A,EDITS_ONLY,CT
MNDOUS,UC.D.MNDOUS.CASH.IP,Mind CTI Ltd,SHARES,N/A,TRADEABLE,CT
CTIC,UA.D.CTIC.CASH.IP,CTI BioPharma Corp (US),SHARES,N/A,CLOSED,CT
CTALN,KC.D.CTALN.CASH.IP,CT Automotive Group PLC,SHARES,N/A,EDITS_ONLY,CT
BBHLN,KC.D.BBHLN.CASH.IP,CT Healthcare Trust plc,SHARES,N/A,CLOSED,CT
FPEB,KA.D.FPEB.CASH.IP,CT Private Equity Trust PLC,SHARES,N/A,EDITS_ONLY,CT
IRP,KA.D.IRP.CASH.IP,CT Property Trust Limited,SHARES,N/A,CLOSED,CT
ICTULN,KC.D.ICTULN.CASH.IP,CT UK High Income Trust PLC,SHARES,N/A,CLOSED,CT
ICTBLN,KC.D.ICTBLN.CASH.IP,CT UK High Income Trust PLC,SHARES,N/A,EDITS_ONLY,CT
ICTALN,KC.D.ICTALN.CASH.IP,CT UK High Income Trust PLC,SHARES,N/A,EDITS_ONLY,CT
CTOUS,SI.D.CTOUS.CASH.IP,CTO Realty Growth Inc,SHARES,N/A,TRADEABLE,CT
CTTPL,PO.D.CTTPL.CASH.IP,CTT-Correios de Portugal SA,SHARES,N/A,EDITS_ONLY,CT
CTIBUS,UA.D.CTIBUS.CASH.IP,Yunhong Green CTI Ltd,SHARES,N/A,TRADEABLE,CT
FMPGLN,KC.D.FMPGLN.CASH.IP,CT Global Managed Portfolio Trust PLC,SHARES,N/A,EDITS_ONLY,CT
FMPILN,KC.D.FMPILN.CASH.IP,CT Global Managed Portfolio Trust PLC,SHARES,N/A,EDITS_ONLY,CT
FCI,KA.D.FCI.CASH.IP,CT UK Capital and Income Investment Trust PLC,SHARES,N/A,EDITS_ONLY,CT
CATSJ,AR.D.CATSJ.CASH.IP,Caxton and CTP Publishers and Printers Limited,SHARES,N/A,EDITS_ONLY,CT
EEWGLN,KA.D.EEWGLN.CASH.IP,iShares MSCI World ESG Enhanced CTB UCITS ETF,SHARES,N/A,EDITS_ONLY,CT
USDJPY,CS.D.USDJPY.CFD.IP,USD/JPY,CURRENCIES,N/A,TRADEABLE,CU
EURGBP,CS.D.EURGBP.CFD.IP,EUR/GBP,CURRENCIES,N/A,TRADEABLE,CU
EURJPY,CS.D.EURJPY.CFD.IP,EUR/JPY,CURRENCIES,N/A,TRADEABLE,CU
EURUSD,CS.D.EURUSD.CFD.IP,EUR/USD,CURRENCIES,N/A,TRADEABLE,CU
EURUSD,CS.D.EURUSD.MINI.IP,EUR/USD Mini,CURRENCIES,N/A,TRADEABLE,CU
GBPJPY,CS.D.GBPJPY.CFD.IP,GBP/JPY,CURRENCIES,N/A,TRADEABLE,CU
EURSGD,CS.D.EURSGD.CFD.IP,EUR/SGD,CURRENCIES,N/A,TRADEABLE,CU
USDSGD,CS.D.USDSGD.CFD.IP,USD/SGD,CURRENCIES,N/A,TRADEABLE,CU
5CVGY,ED.D.5CVGY.CASH.IP,CureVac NV,SHARES,N/A,CLOSED,CU
CRISUS,UA.D.CRISUS.CASH.IP,Curis Inc,SHARES,N/A,TRADEABLE,CU
CUTRUS,UA.D.CUTRUS.CASH.IP,Cutera Inc,SHARES,N/A,CLOSED,CU
HLTHUS,UB.D.HLTHUS.CASH.IP,Cue Health Inc,SHARES,N/A,OFFLINE,CU
CVACUS,UA.D.CVACUS.CASH.IP,CureVac B.V.,SHARES,N/A,CLOSED,CU
PZC,KA.D.PZC.CASH.IP,PZ Cussons PLC,SHARES,N/A,EDITS_ONLY,CU
CUEUS,UA.D.CUEUS.CASH.IP,Cue Biopharma Inc,SHARES,N/A,OFFLINE,CU
CMLSUS,UA.D.CMLSUS.CASH.IP,Cumulus Media Inc,SHARES,N/A,OFFLINE,CU
CURRUS,UA.D.CURRUS.CASH.IP,Currenc Group Inc,SHARES,N/A,TRADEABLE,CU
COHSJ,AR.D.COHSJ.CASH.IP,Curro Holdings Ltd,SHARES,N/A,CLOSED,CU
CGEMUS,UA.D.CGEMUS.CASH.IP,Cullinan Therapeutics Inc,SHARES,N/A,TRADEABLE,CU
CUPRUS,UA.D.CUPRUS.CASH.IP,Cuprina Holdings Cayman Ltd,SHARES,N/A,TRADEABLE,CU
CURXUS,UA.D.CURXUS.CASH.IP,Curanex Pharmaceuticals Inc,SHARES,N/A,TRADEABLE,CU
CURIUS,UA.D.CURIUS.CASH.IP,CuriosityStream Inc,SHARES,N/A,TRADEABLE,CU
FXEUS,SI.D.FXEUS.CASH.IP,CurrencyShares Euro Trust,SHARES,N/A,TRADEABLE,CU
CBPLN,KA.D.CBPLN.CASH.IP,Curtis Banks Group PLC,SHARES,N/A,CLOSED,CU
CCNCUS,UA.D.CCNCUS.CASH.IP,GD Culture Group Limited,SHARES,N/A,TRADEABLE,CU
CCRCUS,UA.D.CCRCUS.CASH.IP,China Customer Relations Centers Inc,SHARES,N/A,CLOSED,CU
CPIXUS,UA.D.CPIXUS.CASH.IP,Cumberland Pharmaceuticals Inc,SHARES,N/A,TRADEABLE,CU
FXAUS,SI.D.FXAUS.CASH.IP,CurrencyShares Australian Dollar Trust,SHARES,N/A,TRADEABLE,CU
FXBUS,SI.D.FXBUS.CASH.IP,CurrencyShares British Pound Sterling Trust,SHARES,N/A,TRADEABLE,CU
FXCUS,SI.D.FXCUS.CASH.IP,CurrencyShares Canadian Dollar Trust,SHARES,N/A,TRADEABLE,CU
FXY,SI.D.FXY.CASH.IP,CurrencyShares Japanese Yen Trust,SHARES,N/A,TRADEABLE,CU
FXFUS,SI.D.FXFUS.CASH.IP,CurrencyShares Swiss Franc Trust,SHARES,N/A,TRADEABLE,CU
CPW,KA.D.CPW.CASH.IP,Currys Plc,SHARES,N/A,EDITS_ONLY,CU
CREILN,KA.D.CREILN.CASH.IP,Custodian Property Income REIT plc,SHARES,N/A,EDITS_ONLY,CU
HCDIUS,UB.D.HCDIUS.CASH.IP,Harbor Custom Development Inc,SHARES,N/A,CLOSED,CU
STPULN,KA.D.STPULN.CASH.IP,Lyxor US Curve Steepening 2-10 UCITS ETF,SHARES,N/A,EDITS_ONLY,CU
MCP,KA.D.MCP.CASH.IP,Martin Currie Pacific Trust PLC,SHARES,N/A,CLOSED,CU
OCGUS,UC.D.OCGUS.CASH.IP,Oriental Culture Holding Limited,SHARES,N/A,TRADEABLE,CU
CVRXUS,UA.D.CVRXUS.CASH.IP,CVRx Inc,SHARES,N/A,TRADEABLE,CV
CVSG,KA.D.CVSG.CASH.IP,CVS Group PLC,SHARES,N/A,EDITS_ONLY,CV
CVBFUS,UA.D.CVBFUS.CASH.IP,CVB Financial Corp,SHARES,N/A,TRADEABLE,CV
DGNSUS,UB.D.DGNSUS.CASH.IP,Cvent Holding Corp,SHARES,N/A,CLOSED,CV
CVCNA,EG.D.CVCNA.CASH.IP,CVC Capital Partners PLC,SHARES,N/A,EDITS_ONLY,CV
CCPGLN,KA.D.CCPGLN.CASH.IP,CVC INCOME & GROWTH LIMITED,SHARES,N/A,EDITS_ONLY,CV
CCPELN,KA.D.CCPELN.CASH.IP,CVC Income & Growth Limited,SHARES,N/A,EDITS_ONLY,CV
CVVUS,UA.D.CVVUS.CASH.IP,CVD Equipment Corporation,SHARES,N/A,TRADEABLE,CV
BWMXUS,UA.D.BWMXUS.CASH.IP,Betterware de Mexico S.A.P.I. de CV,SHARES,N/A,TRADEABLE,CV
CVNYUS,SI.D.CVNYUS.CASH.IP,YieldMax CVNA Option Income Strategy ETF,SHARES,N/A,TRADEABLE,CV
KINZUUS,UB.D.KINZUUS.CASH.IP,CXApp Inc,SHARES,N/A,TRADEABLE,CX
CXAIWUS,UA.D.CXAIWUS.CASH.IP,CXApp Inc,SHARES,N/A,TRADEABLE,CX
CYNUS,UA.D.CYNUS.CASH.IP,CYNGN Inc,SHARES,N/A,TRADEABLE,CY
CYXOSS,EH.D.CYXOSS.CASH.IP,Cyxone AB,SHARES,N/A,CLOSED,CY
