ticker,epic,instrument_name,currency,market_status,expiry,instrument_type,search_term
AAQGY,ED.D.AAQGY.CASH.IP,aap Implantate AG,N/A,TRADEABLE,-,SHARES,AA
AIRUS,SA.D.AIRUS.CASH.IP,AAR Corp,N/A,TRADEABLE,-,SHARES,AA
AARDUS,UA.D.AARDUS.CASH.IP,Aardvark Therapeutics Inc,N/A,TRADEABLE,-,SHARES,AA
ARLGY,ED.D.ARLGY.CASH.IP,Aareal Bank AG,N/A,CLOSED,-,SHARES,AA
ARL0GY,ED.D.ARL0GY.CASH.IP,Aareal Bank AG,N/A,CLOSED,-,SHARES,AA
AAKSS,EH.D.AAKSS.CASH.IP,AarhusKarlshamn AB,N/A,TRADEABLE,-,SHARES,AA
RNT,SG.D.RNT.CASH.IP,Aaron's Inc,N/A,CLOSED,-,SHARES,AA
ABDPLN,KC.D.ABDPLN.CASH.IP,AB Dynamics PLC,N/A,TRADEABLE,-,SHARES,DY
SAGAASS,EH.D.SAGAASS.CASH.IP,AB Sagax (publ) - A,N/A,TRADEABLE,-,SHARES,AB
SAGABSS,EH.D.SAGABSS.CASH.IP,AB Sagax - B,N/A,TRADEABLE,-,SHARES,AB
SAGADSS,EH.D.SAGADSS.CASH.IP,AB Sagax - D,N/A,TRADEABLE,-,SHARES,AB
ABFP,EC.D.ABFP.CASH.IP,AB Science SA,N/A,TRADEABLE,-,SHARES,AB
SKFB,EH.D.SKFB.CASH.IP,AB SKF (publ),N/A,TRADEABLE,-,SHARES,AB
SKFASS,EH.D.SKFASS.CASH.IP,AB SKF (publ),N/A,TRADEABLE,-,SHARES,AB
ABP,AF.D.ABP.CASH.IP,Abacus Group,N/A,EDITS_ONLY,-,SHARES,Group
ASKAU,AB.D.ASKAU.CASH.IP,Abacus Storage King,N/A,EDITS_ONLY,-,SHARES,KI
ABBN,EJ.D.ABBN.CASH.IP,ABB Ltd (CH),N/A,TRADEABLE,-,SHARES,AB
ABB,EH.D.ABB.CASH.IP,ABB Ltd (SE),N/A,TRADEABLE,-,SHARES,AB
ABBUS,SA.D.ABBUS.CASH.IP,ABB Ltd - ADR,N/A,OFFLINE,-,SHARES,AB
ACLNSW,EJ.D.ACLNSW.CASH.IP,ABB Turbo Systems AG,N/A,TRADEABLE,-,SHARES,SY
ABBVWUS,SA.D.ABBVWUS.CASH.IP,AbbVie Inc (24 Hours),N/A,TRADEABLE,-,SHARES,AB
2670JT,AJ.D.2670JT.CASH.IP,ABC-Mart Inc,N/A,EDITS_ONLY,-,SHARES,MA
ABCMUS,UA.D.ABCMUS.CASH.IP,Abcam PLC - ADR,N/A,CLOSED,-,SHARES,AD
5574JT,AJ.D.5574JT.CASH.IP,ABEJA Inc,N/A,EDITS_ONLY,-,SHARES,AB
ABEOUS,UA.D.ABEOUS.CASH.IP,Abeona Therapeutics Inc,N/A,TRADEABLE,-,SHARES,TH
AODUS,SA.D.AODUS.CASH.IP,Aberdeen Total Dynamic Dividend Fund,N/A,TRADEABLE,-,SHARES,DY
ABDXLN,KC.D.ABDXLN.CASH.IP,Abingdon Health PLC,N/A,TRADEABLE,-,SHARES,HE
ABVXFP,EC.D.ABVXFP.CASH.IP,ABIVAX SA,N/A,TRADEABLE,-,SHARES,AB
ABVXUS,UA.D.ABVXUS.CASH.IP,Abivax SA ADR,N/A,TRADEABLE,-,SHARES,AD
AB9GY,ED.D.AB9GY.CASH.IP,ABO Wind AG,N/A,TRADEABLE,-,SHARES,AG
YOUGY,ED.D.YOUGY.CASH.IP,ABOUT YOU Holding AG,N/A,OFFLINE,-,SHARES,YO
ABPUS,UA.D.ABPUS.CASH.IP,Abpro Holdings Inc,N/A,OFFLINE,-,SHARES,Holdings
SLLN,KA.D.SLLN.CASH.IP,Abrdn PLC,N/A,TRADEABLE,-,SHARES,LN
ABSPSJ,AR.D.ABSPSJ.CASH.IP,Absa Bank Limited,N/A,CLOSED,-,SHARES,Bank
ABSOSS,EH.D.ABSOSS.CASH.IP,Absolent Group AB (publ),N/A,TRADEABLE,-,SHARES,AB
ABTAU,AB.D.ABTAU.CASH.IP,Abundant Produce Pty Limited,N/A,CLOSED,-,SHARES,PT
ACIUUS,UA.D.ACIUUS.CASH.IP,AC Immune SA,N/A,TRADEABLE,-,SHARES,AC
ABGLN,KA.D.ABGLN.CASH.IP,Acacia Mining PLC,N/A,OFFLINE,-,SHARES,AC
ACADSS,EH.D.ACADSS.CASH.IP,AcadeMedia AB (publ),N/A,TRADEABLE,-,SHARES,AC
ASOUS,UA.D.ASOUS.CASH.IP,Academy Sports and Outdoors Inc,N/A,TRADEABLE,-,SHARES,OU
AKRUS,SA.D.AKRUS.CASH.IP,Acadia Realty Trust,N/A,TRADEABLE,-,SHARES,AC
ACARIXSS,EH.D.ACARIXSS.CASH.IP,Acarix AB,N/A,TRADEABLE,-,SHARES,AC
ACASTSS,EH.D.ACASTSS.CASH.IP,Acast AB,N/A,TRADEABLE,-,SHARES,AC
ACCELNA,EG.D.ACCELNA.CASH.IP,Accell Group,N/A,CLOSED,-,SHARES,AC
ACLLYUS,SA.D.ACLLYUS.CASH.IP,Accelleron Industries Ltd  - US OTC,N/A,OFFLINE,-,SHARES,OT
OMIUS,SE.D.OMIUS.CASH.IP,Accendra Health Inc,N/A,TRADEABLE,-,SHARES,AC
RCGAU,AB.D.RCGAU.CASH.IP,Accent Group,N/A,EDITS_ONLY,-,SHARES,AC
E7SGY,ED.D.E7SGY.CASH.IP,Accentro Real Estate AG,N/A,TRADEABLE,-,SHARES,ES
ACN,SA.D.ACN.CASH.IP,Accenture PLC (24 Hours),N/A,TRADEABLE,-,SHARES,AC
4813JT,AJ.D.4813JT.CASH.IP,Access Co Ltd,N/A,EDITS_ONLY,-,SHARES,AC
ISDRUS,SI.D.ISDRUS.CASH.IP,ACCESS Newswire Inc,N/A,TRADEABLE,-,SHARES,AC
ANA,EI.D.ANA.CASH.IP,Acciona SA,N/A,TRADEABLE,-,SHARES,AC
ABD,SA.D.ABD.CASH.IP,ACCO Brands Corp,N/A,TRADEABLE,-,SHARES,AC
ACCDUS,UA.D.ACCDUS.CASH.IP,Accolade Inc,N/A,CLOSED,-,SHARES,AC
ACCONSS,EH.D.ACCONSS.CASH.IP,Acconeer AB,N/A,TRADEABLE,-,SHARES,AC
ACCP,EC.D.ACCP.CASH.IP,Accor SA,N/A,TRADEABLE,-,SHARES,AC
AGTSP,AG.D.AGTSP.CASH.IP,Accordia Golf Trust,N/A,CLOSED,-,SHARES,AC
ACCSP,AG.D.ACCSP.CASH.IP,Accrelist Limited,N/A,EDITS_ONLY,-,SHARES,AC
ARAYUS,UA.D.ARAYUS.CASH.IP,Accuray Inc,N/A,TRADEABLE,-,SHARES,AC
ADCAU,AB.D.ADCAU.CASH.IP,ACDC Metals Limited,N/A,EDITS_ONLY,-,SHARES,AC
ACE,EF.D.ACE.CASH.IP,ACEA SpA,N/A,TRADEABLE,-,SHARES,AC
ACERUS,UA.D.ACERUS.CASH.IP,Acer Therapeutic Inc,N/A,CLOSED,-,SHARES,TH
IDRAUS,UB.D.IDRAUS.CASH.IP,Aceragen Inc,N/A,CLOSED,-,SHARES,AC
ACX,EI.D.ACX.CASH.IP,Acerinox SA,N/A,TRADEABLE,-,SHARES,AC
ACGLN,KC.D.ACGLN.CASH.IP,ACG Metals Ltd,N/A,TRADEABLE,-,SHARES,AC
AKAOUS,UA.D.AKAOUS.CASH.IP,Achaogen Inc,N/A,CLOSED,-,SHARES,AC
ACHISW,EJ.D.ACHISW.CASH.IP,Achiko AG,N/A,CLOSED,-,SHARES,AC
ACHLUS,UA.D.ACHLUS.CASH.IP,Achilles Therapeutics PLC,N/A,CLOSED,-,SHARES,TH
ACIW,UA.D.ACIW.CASH.IP,ACI Worldwide Inc,N/A,TRADEABLE,-,SHARES,AC
ACONUS,UA.D.ACONUS.CASH.IP,Aclarion Inc,N/A,TRADEABLE,-,SHARES,AC
ACRSUS,UA.D.ACRSUS.CASH.IP,Aclaris Therapeutics Inc,N/A,TRADEABLE,-,SHARES,TH
ACMRUS,UA.D.ACMRUS.CASH.IP,ACM Research Inc,N/A,TRADEABLE,-,SHARES,AC
ACUUS,SI.D.ACUUS.CASH.IP,Acme United Corp,N/A,TRADEABLE,-,SHARES,AC
ACOMONA,EG.D.ACOMONA.CASH.IP,Acomo N.V,N/A,TRADEABLE,-,SHARES,AC
ACOR,UA.D.ACOR.CASH.IP,Acorda Therapeutics Inc,N/A,CLOSED,-,SHARES,TH
ACFNUS,UA.D.ACFNUS.CASH.IP,Acorn Energy Inc,N/A,TRADEABLE,-,SHARES,AC
ADTN,UA.D.ADTN.CASH.IP,ACORN HOLDCO INC COM,N/A,TRADEABLE,-,SHARES,AC
ACOUSS,EH.D.ACOUSS.CASH.IP,AcouSort AB,N/A,TRADEABLE,-,SHARES,AC
RSOUS,SG.D.RSOUS.CASH.IP,ACRES Commerical Realty Corp,N/A,TRADEABLE,-,SHARES,Real
AKRNLI,PK.D.AKRNLI.CASH.IP,Acron PJSC,N/A,OFFLINE,-,SHARES,AC
NETGSS,EH.D.NETGSS.CASH.IP,Acroud AB,N/A,OFFLINE,-,SHARES,AC
NMG,AF.D.NMG.CASH.IP,Acrow Limited,N/A,EDITS_ONLY,-,SHARES,AC
ACR,AF.D.ACR.CASH.IP,Acrux Ltd,N/A,EDITS_ONLY,-,SHARES,AC
