query,epic,instrument_name,instrument_type
SHOP,EH.D.ITABBSS.CASH.IP,ITAB Shop Concept AB (publ),SHARES
SHOP,AR.D.SHPSJ.CASH.IP,Shoprite Holdings Ltd,SHARES
SHOP,UD.D.TTSUS.CASH.IP,Tile Shop Holdings Inc,SHARES
SHOP,KA.D.SSHELN.CASH.IP,Leverage Shares -1x Short Shopify ETP - EUR,SHARES
SHOP,KA.D.SSHOLN.CASH.IP,Leverage Shares -1x Short Shopify ETP - GBp,SHARES
SHOP,KA.D.SHOSLN.CASH.IP,Leverage Shares -1x Short Shopify ETP - USD,SHARES
SHOP,KA.D.3SHELN.CASH.IP,Leverage Shares 3x Shopify ETP - EUR,SHARES
SHOP,KA.D.3SHPLN.CASH.IP,Leverage Shares 3x Shopify ETP - GBp,SHARES
SHOP,KA.D.SHO3LN.CASH.IP,Leverage Shares 3x Shopify ETP - USD,SHARES
