query,epic,instrument_name,instrument_type
INTC,UB.D.INTC.CASH.IP,Intel Corp (24 Hours),SHARES
INTC,ED.D.INLGY.CASH.IP,Intel Corp (DE),SHARES
INTC,KA.D.YINTLN.CASH.IP,IncomeShares Intel INTC Options ETP,SHARES
