ticker_in_epic,epic,instrument_name,currency,market_status,search_term
QQQ,UC.D.QQQ.CASH.IP,Invesco QQQ Trust Series 1 (24 Hours),N/A,TRADEABLE,Trust
QUBTUS,UC.D.QUBTUS.CASH.IP,Quantum Computing Inc (24 Hours),N/A,TRADEABLE,Q Inc
RCATUS,UC.D.RCATUS.CASH.IP,Red Cat Holdings Inc (24 Hours),N/A,TRADEABLE,R Inc
ROKUUS,UC.D.ROKUUS.CASH.IP,Roku Inc (24 Hours),N/A,TRADEABLE,R Inc
RUNUS,UC.D.RUNUS.CASH.IP,Sunrun Inc (24 Hours),N/A,TRADEABLE,S Inc
SBUX,UD.D.SBUX.CASH.IP,Starbucks Corp (24 Hours),N/A,TRADEABLE,S Corp
SEDGUS,UD.D.SEDGUS.CASH.IP,SolarEdge Technologies Inc (24 Hours),N/A,TRADEABLE,I Technologies
SVUS,UD.D.SVUS.CASH.IP,NuScale Power Corporation (24 Hours),N/A,TRADEABLE,N Corp
SWKS,UD.D.SWKS.CASH.IP,Skyworks Solutions Inc (24 Hours),N/A,TRADEABLE,Solutions
SYMC,UD.D.SYMC.CASH.IP,Gen Digital Inc (24 Hours),N/A,TRADEABLE,D Inc
TASR,UD.D.TASR.CASH.IP,Axon Enterprise Inc (24 Hours),N/A,TRADEABLE,E Inc
TEAMUS,UD.D.TEAMUS.CASH.IP,Atlassian Corp PLC (24 Hours),N/A,TRADEABLE,P Corp
TECH,UD.D.TECH.CASH.IP,Techne Corp (24 Hours),N/A,TRADEABLE,T Corp
TEMUS,UD.D.TEMUS.CASH.IP,Tempus AI Inc (24 Hours),N/A,TRADEABLE,T Inc
TLRYUS,UD.D.TLRYUS.CASH.IP,Tilray Inc (24 Hours),N/A,TRADEABLE,T Inc
TRMB,UD.D.TRMB.CASH.IP,Trimble Navigation Ltd (24 Hours),N/A,TRADEABLE,N Ltd
TROW,UD.D.TROW.CASH.IP,T Rowe Price Group Inc (24 Hours),N/A,TRADEABLE,T Group
TSLA,UD.D.TSLA.CASH.IP,Tesla Motors Inc (24 Hours),N/A,TRADEABLE,Motors
TTDUS,UD.D.TTDUS.CASH.IP,Trade Desk Inc/The (24 Hours),N/A,TRADEABLE,D Inc
TTWO,UD.D.TTWO.CASH.IP,Take-Two Interactive Software Inc (24 Hours),N/A,TRADEABLE,Software
ULTAUS,UD.D.ULTAUS.CASH.IP,Ulta Beauty Inc (24 Hours),N/A,TRADEABLE,U Inc
UPSTUS,UD.D.UPSTUS.CASH.IP,Upstart Holdings Inc (24 Hours),N/A,TRADEABLE,U Holdings
USARUS,UD.D.USARUS.CASH.IP,USA Rare Earth Inc (24 Hours),N/A,TRADEABLE,U Inc
VACQUS,UD.D.VACQUS.CASH.IP,Rocket Lab Corporation (24 Hours),N/A,TRADEABLE,L Corp
VRSN,UD.D.VRSN.CASH.IP,VeriSign Inc (24 Hours),N/A,TRADEABLE,V Inc
VTRSUS,UD.D.VTRSUS.CASH.IP,Viatris Inc (24 Hours),N/A,TRADEABLE,V Inc
WDC,UD.D.WDC.CASH.IP,Western Digital Corp (24 Hours),N/A,TRADEABLE,D Corp
WISAUS,UD.D.WISAUS.CASH.IP,Datavault AI Inc (24 Hours),N/A,TRADEABLE,D Inc
WRDUS,UD.D.WRDUS.CASH.IP,WeRide Inc (24 Hours),N/A,TRADEABLE,W Inc
WULFUS,UD.D.WULFUS.CASH.IP,Terawulf Inc (24 Hours),N/A,TRADEABLE,T Inc
WYNN,UD.D.WYNN.CASH.IP,Wynn Resorts Ltd (24 Hours),N/A,TRADEABLE,R Ltd
YNDX,UD.D.YNDX.CASH.IP,Nebius Group NV (24 Hours),N/A,TRADEABLE,N Group
ZBRA,UD.D.ZBRA.CASH.IP,Zebra Technologies Corp (24 Hours),N/A,TRADEABLE,T Corp
ZMUS,UD.D.ZMUS.CASH.IP,Zoom Video Communications Inc (24 Hours),N/A,TRADEABLE,Z Inc
ZSUS,UD.D.ZSUS.CASH.IP,Zscaler Inc (24 Hours),N/A,TRADEABLE,Z Inc
